id,casrn,tri_chemical_id,srs_id,casrn,source_chemical_name,tri_chemical_name,Other common names,NJ Right to Know FactSheet (URL),Carcinogens,Carcinogenicity source,Developmental or Reproductive Toxicants,Developmental / Reproductive Toxicity sources,Mutagens,Mutagen source,Neurotoxicants,Neuro source,Endocrine Disruptors,Endocrine Source,Asthmagens,Asthmagen Source
9ab8c421-d618-49eb-bca3-2b9d3b7e7164,108-45-2,108452,25122,108-45-2,"1,3-Phenylenediamine","1,3-Phenylenediamine",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1316.pdf,,,,,,,,,,,,
9ab8b771-9a10-4b5c-8df7-b0c6d6f36ec4,108-60-1,108601,25213,108-45-2,Bis(2-chloro-1-methylethyl) ether,Bis(2-chloro-1-methylethyl) ether,,,,,,,,,,,,,,
9ab8c6cd-f8fe-461b-81f6-7972081e6a2e,108-88-3,108883,25452,108-88-3,Toluene,Toluene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1866.pdf,,,Yes,"S4, S14",,,Yes ,S7,Yes,S3,Yes,S8
9ab8b95b-8158-4d86-8709-509c44f981dd,108-90-7,108907,25478,108-90-7,Chlorobenzene,Chlorobenzene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0379.pdf,Yes ,S14 ,,,Yes ,S14 ,,,,,Yes,S8
9ab8ba9a-2f80-4a3b-ae03-6dbe4d0f96e0,108-93-0,108930,25494,108-93-0,Cyclohexanol,Cyclohexanol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0569.pdf,,,,,,,Yes ,S7,,,,
9ab8c3f9-3e73-4d32-8231-f1f60e7c32a5,108-95-2,108952,25510,108-95-2,Phenol,Phenol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1487.pdf,,,Yes ,S14 ,,,Yes ,S7,Yes,S3,Yes,S8
9ab8c1c8-6d2c-4a1a-81d0-3f96da304f94,0109-06-08,109068,25601,109-06-08,2-Methylpyridine,2-Methylpyridine,,,,,,,,,,,,,,
9ab8c0bc-3734-4199-b31f-478b98b8b5f5,109-77-3,109773,26120,109-77-3,Malononitrile,Malononitrile,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1153.pdf,,,,,,,,,,,,
9ab8c135-f74f-4800-a7f3-aa0221b115fa,109-86-4,109864,26211,109-86-4,2-Methoxyethanol,2-Methoxyethanol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1211.pdf,,,Yes,"S11, S14 ",,,Yes,S7,Yes,S3,Yes,S8
9ab8bf86-6c34-4670-9aee-e870faa498c3,110-00-9,110009,26328,110-00-9,Furan,Furan,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0952.pdf,Yes,"S4,  S14,S16, S18",,,,,,,,,,
9ab8bfdf-83c7-462a-b465-0657de702de0,110-54-3,110543,26740,110-54-3,n-Hexane (Hexane),n-Hexane,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1340.pdf,,,Yes,S4,,,Yes ,S7,Yes,S3,Yes,S8
9ab8bbcf-7922-4021-9e0d-f2e6b4af64dd,110-57-6,110576,26765,110-57-6,"trans-1,4-Dichloro-2-butene","trans-1,4-Dichloro-2-butene",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2829.pdf,,,,,Yes ,S14 ,,,,,,
9ab8be93-424c-47ea-b1b3-8bc48ac8d3bc,110-80-5,110805,26989,110-80-5,2-Ethoxyethanol,2-Ethoxyethanol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0839.pdf,,,Yes,"S4, S11, S14",,,Yes ,S7,Yes,S3,Yes,S8
9ab8ba92-0e44-4f11-b023-1015cd5a7b85,110-82-7,110827,27003,110-82-7,Cyclohexane,Cyclohexane,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0565.pdf,,,,,,,Yes ,S7,,,Yes,S8
9ab8c52e-1f5e-4ebc-8105-127b69281133,110-86-1,110861,27037,110-86-1,Pyridine,Pyridine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1624.pdf,Yes,S4,,,,,Yes,S7,,,Yes,S8
9ab8ca4b-2aa9-4e7f-b547-320267f59680,11066-49-2,11066492,,11066-49-2,Isononylphenol,,,,,,,,,,,,Yes,S11,,
9ab8bcec-4f42-4385-b00c-dfb6bbca5027,111-42-2,111422,27516,111-42-2,Diethanolamine,Diethanolamine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0686.pdf,Yes,S4,,,,,,,Yes,S3,Yes,S8
